"Nº INSCRIPCIÓN","DENOMINACIÓN SOCIAL","PROVINCIA","LOCALIDAD","CP","CLASE O GRADO","FECHA INSCRIPCIÓN"
"BA-146","CONINFREX, S. COOP. LTDA.","BADAJOZ","Fregenal de la Sierra","06340","Sociedades Cooperativas de Trabajo Asociado",17/02/83
"EXT-1235","NAVISGAN, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Fregenal de la Sierra","06340","Sociedades Cooperativas de Trabajo Asociado",30/01/20
"EXT-1265","PEONÍA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Fregenal de la Sierra","06340","Sociedades Cooperativas de Trabajo Asociado",18/06/21
"EXT-707","GRAFICOLOR FREGENAL, S. COOP. LTDA.","BADAJOZ","Fregenal de la Sierra","06340","Sociedades Cooperativas de Trabajo Asociado",01/11/01
"EXT-801","IBÉRICA DEL CORTE, S. COOP.","BADAJOZ","Fregenal de la Sierra","06340","Sociedades Cooperativas de Trabajo Asociado",23/12/08
"EXT-812","SUPERMERCADO FREGENAL SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Fregenal de la Sierra","06340","Sociedades Cooperativas de Trabajo Asociado",21/11/01
"06/BA-394","SOCIEDAD COOPERATIVA GANADERA DE FUENLABRADA DE LOS MONTES","BADAJOZ","Fuenlabrada de los Montes","06660","Sociedades Cooperativas Agrarias",04/10/89
"EXT-1112","SOCIEDAD COOPERATIVA MONTEMIEL","BADAJOZ","Fuenlabrada de los Montes","06660","Sociedades Cooperativas Agrarias",22/07/78
"EXT-423","SOCIEDAD COOPERATIVA OLIVARERA NUESTRA SEÑORA DE LA ASUNCIÓN","BADAJOZ","Fuenlabrada de los Montes","06660","Sociedades Cooperativas Agrarias",17/02/65
"EXT-758","SOCIEDAD COOPERATIVA LIMITADA GANADERA FUENLABRA","BADAJOZ","Fuenlabrada de los Montes","06660","Sociedades Cooperativas Agrarias",13/08/98
"BA-143","SOCIEDAD COOPERATIVA LIMITADA LA CALABRESA","BADAJOZ","Fuenlabrada de los Montes","06660","Sociedades Cooperativas de Trabajo Asociado",21/12/82
"EXT-452","SOCIEDAD COOPERATIVA AGROPECUARIA FRANCISCO DE ZURBARAN","BADAJOZ","Fuente de Cantos","06240","Sociedades Cooperativas Agrarias",08/07/77
"EXT-1276","CAPRISUREX, SOCIEDAD COOPERATIVA","BADAJOZ","Fuente de Cantos","06240","Sociedades Cooperativas Agroalimentarias",20/01/22
22400,"SOCIEDAD COOPERATIVA NUESTRA SEÑORA DEL CARMEN, S. COOP.","BADAJOZ","Fuente de Cantos","06240","Sociedades Cooperativas de Consumidores y Usuarios",19/01/77
"EXT-053","CONTRUCCIONES NUESTRA SEÑORA DE LA HERMOSA, SOCIEDAD COOPERATIVA","BADAJOZ","Fuente de Cantos","06240","Sociedades Cooperativas de Trabajo Asociado",02/10/02
"EXT-699","CONEX SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Fuente de Cantos","06240","Sociedades Cooperativas de Trabajo Asociado",16/11/92
"EXT-868","SOCIEDAD COOPERATIVA CONSTRUCCIONES SUROESTE","BADAJOZ","Fuente de Cantos","06240","Sociedades Cooperativas de Trabajo Asociado",17/10/94
"EXT-535","SOCIEDAD COOPERATIVA VIRGEN DEL ARA","BADAJOZ","Fuente del Arco","06980","Sociedades Cooperativas Agrarias",14/03/97
"EXT-062","SOCIEDAD COOPERATIVA AGRARIA NUESTRA SEÑORA DE LA CABEZA","BADAJOZ","Fuente del Maestre","06360","Sociedades Cooperativas Agrarias",15/03/78
"EXT-795","PROAVIEX, S. COOP. ESPECIAL","BADAJOZ","Fuente del Maestre","06360","Sociedades Cooperativas Agrarias",01/12/08
"EXT-1065","AVÍCOLAS LA FUENTE, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Fuente del Maestre","06360","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",26/01/15
"EXT-1105","LA JAROSA, S. COOP. ESPECIAL","BADAJOZ","Fuente del Maestre","06360","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",23/05/16
"EXT-716","GRAN MAESTRE, S. COOP. ESPECIAL","BADAJOZ","Fuente del Maestre","06360","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",12/02/08
"EXT-405","SOCIEDAD COOPERATIVA INDUSTRIAL FONTANESA DE CONFECCIÓN","BADAJOZ","Fuente del Maestre","06360","Sociedades Cooperativas de Trabajo Asociado",18/04/77
11764,"COOPERATIVA OLIVARERA NUESTRA SEÑORA DE LOS ANGELES","BADAJOZ","Fuentes de Leon","06280","Sociedades Cooperativas Agrarias",21/07/64
"EXT-610","SOCIEDAD COOPERATIVA DEL CAMPO SAN ONOFRE","BADAJOZ","Fuentes de Leon","06280","Sociedades Cooperativas Agrarias",16/05/46
"EXT-227","RICAI DE FUENTES DE LEON S. COOP. LTDA.","BADAJOZ","Fuentes de Leon","06280","Sociedades Cooperativas de Trabajo Asociado",16/12/98
"BA-090","VIRGEN DEL CARMEN DE GARBAYUELA, S. COOP. LTDA.","BADAJOZ","Garbayuela","06690","Sociedades Cooperativas de Trabajo Asociado",10/11/81
"EXT-685","SOCIEDAD COOPERATIVA SANTA ANA VIRGEN DEL ESPINO DEL VALLE","BADAJOZ","Garbayuela","06690","Sociedades Cooperativas de Trabajo Asociado",09/06/94
"EXT-233","CAMPO EN MARCHA S. COOP.","BADAJOZ","Gargaligas","06711","Sociedades Cooperativas Agrarias",25/06/93
20564,"SOCIEDAD COOPERATIVA 19 DE DICIEMBRE","BADAJOZ","Gargaligas","06711","Sociedades Cooperativas de Consumidores y Usuarios",02/10/74
"EXT-451","OLIVARERA GARLITOS, SOCIEDAD COOPERATIVA","BADAJOZ","Garlitos","06656","Sociedades Cooperativas Agrarias",21/08/02
"EXT-160","VICENTE PEDRAJAS SOCIEDAD COOPERATIVA","BADAJOZ","Garlitos","06656","Sociedades Cooperativas de Trabajo Asociado",07/03/88
"EXT-365","NUESTRA SEÑORA DE LA CARIDAD DE LA GARROVILLA, S. COOP. LTDA.","BADAJOZ","Garrovilla (La)","06870","Sociedades Cooperativas Agrarias",22/10/85
"EXT-469","AGRICULTORES DE LA GARROVILLA SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Garrovilla (La)","06870","Sociedades Cooperativas Agrarias",10/06/94
"EXT-571","SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA LA VEGA DEL MÁRMOL","BADAJOZ","Garrovilla (La)","06870","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",17/06/02
"EXT-1113","FINCA TELENA S. COOP. ESPECIAL","BADAJOZ","Garrovilla (La)","06870","Sociedades Cooperativas de Trabajo Asociado",15/07/16
"EXT-1168","FELECRO, S. COOP. ESPECIAL","BADAJOZ","Garrovilla (La)","06870","Sociedades Cooperativas de Trabajo Asociado",24/04/18
"EXT-595","LA JARILLA EXTREMEÑA, SOCIEDAD COOPERATIVA","BADAJOZ","Garrovilla (La)","06870","Sociedades Cooperativas de Trabajo Asociado",15/01/97
"EXT-237","SOCIEDAD COOPERATIVA DE COLONOS DE GÉVORA","BADAJOZ","Gevora","06180","Sociedades Cooperativas Agrarias",27/07/60
"EXT-585","RÍO DE GEVORA, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","Gevora","06180","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",02/11/04
"EXT-526","GANAEX SOCIEDAD COOPERATIVA","BADAJOZ","Gevora","06180","Sociedades Cooperativas de Trabajo Asociado",17/09/99
"EXT-103","CAMPIÑA SUR, S. COOP.","BADAJOZ","Granja de Torrehermosa","06910","Sociedades Cooperativas Agrarias",21/08/92
12357,"COOPERATIVA AGROPECUARIA DE GRANJA DE TORREHERMOSA","BADAJOZ","Granja de Torrehermosa","06910","Sociedades Cooperativas Agrarias",07/04/65
"EXT-1049","SN ESPECTÁCULOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Guadajira","06187","Sociedades Cooperativas de Trabajo Asociado",30/10/14
"06/BA-416","LOS ARCOS, S. COOP. AGRICOLA-GANADERA","BADAJOZ","Guadalperales (Los)","06713","Sociedades Cooperativas Agrarias",15/01/90
"EXT-639","SOCIEDAD COOPERATIVA DEL CAMPO INDUSTRIAL LOS GUADALPERALES","BADAJOZ","Guadalperales (Los)","06713","Sociedades Cooperativas Agrarias",20/04/65
"EXT-1277","EUROFRUTEX SOCIEDAD COOPERATIVA","BADAJOZ","Guadalperales (Los)","06713","Sociedades Cooperativas Agroalimentarias",25/02/22
"BA-283","SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE LA JARA","BADAJOZ","Guadalperales (Los)","06713","Sociedades Cooperativas de Trabajo Asociado",30/06/86
"EXT-091","ANICAL SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","Guadiana","06186","Sociedades Cooperativas Agrarias",04/02/04
"EXT-238","SAN VALERIANO EXTREMEÑO, S. COOP. LTDA.","BADAJOZ","Guadiana","06186","Sociedades Cooperativas Agrarias",03/02/81
"EXT-1253","FRUTAS TORREBAJA, SOCIEDAD COOPERATIVA","BADAJOZ","Guadiana","06186","Sociedades Cooperativas Agroalimentarias",12/11/20
19773,"SOCIEDAD COOPERATIVA DE COLONOS","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Consumidores y Usuarios",28/06/73
"06/BA-957","PROCAEX, SOCIEDAD COOPERATIVA DE EXPLOTACION COMUNITARIA DE LA TIERRA","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",21/05/02
"EXT-1087","AVÍCOLAS GUADIANA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",15/12/15
"EXT-570","LOS COMINOS, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",12/11/03
"EXT-583","SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA LOS MARCHENAS","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",26/04/02
"EXT-587","MATAS DE PORRAS, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",24/03/03
"06/BA-651","CONSTRUCCIONES MAYSA, S. COOP.","BADAJOZ","Guadiana","06186","Sociedades Cooperativas de Trabajo Asociado",29/07/94
3860,"COOPERATIVA CAJA RURAL DE AHORROS Y PRESTAMOS DE SAN GREGORIO","BADAJOZ","Guareña","06470","Sociedades Cooperativas Agrarias",21/11/46
"EXT-167","VALDEMATE SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Guareña","06470","Sociedades Cooperativas Agrarias",04/04/00
"EXT-240","SOCIEDAD COOPERATIVA LIMITADA SAN PEDRO","BADAJOZ","Guareña","06470","Sociedades Cooperativas Agrarias",13/11/65
"EXT-732","SOCIEDAD COOPERATIVA LIMITADA GUADACHEL","BADAJOZ","Guareña","06470","Sociedades Cooperativas Agrarias",03/09/93
"06/BA-1040","SOCIEDAD COOPERATIVA EXTREMEÑA DE MUEBLES","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",16/08/78
"BA-160","SOCIEDAD COOPERATIVA LIMITADA DE CONFECCIÓN DE GUAREÑA","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",29/06/83
"EXT-206","MUDEGU, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",02/06/87
"EXT-502","CODELAMA S. COOP. LTDA.","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",13/02/95
"EXT-534","HOSTELGU S. COOP.","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",05/01/99
"EXT-751","CONSTRUCCIONES GUAREÑA SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",11/02/88
"EXT-863","CAFETERÍA GUAREÑA 2009, SOCIEDAD COOPERATIVA","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",03/02/10
"EXT-980","LOS CIEN GRAMOS, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Trabajo Asociado",07/02/13
"BA-049","SOCIEDAD COOPERATIVA LIMITADA OCHO DE MAYO","BADAJOZ","Guareña","06470","Sociedades Cooperativas de Viviendas",27/11/80
9694,"COOPERATIVA DEL CAMPO HELECHAL-LA NAVA","BADAJOZ","Helechal","06613","Sociedades Cooperativas Agrarias",31/10/61
"BA-298","HEVA, S. COOP. LTDA.","BADAJOZ","Helechal","06613","Sociedades Cooperativas de Trabajo Asociado",16/09/86
"06/BA-415","SOCIEDAD COOPERATIVA DE APROVECHAMIENTOS FORESTALES LA SIBERIA","BADAJOZ","Helechosa de los Montes","06692","Sociedades Cooperativas de Trabajo Asociado",15/01/90
"EXT-213","SOCIEDAD COOPERATIVA AGRÍCOLA SAN VALENTÍN DE HERNÁN CORTÉS","BADAJOZ","Hernan Cortes","06412","Sociedades Cooperativas Agrarias",30/01/95
"EXT-464","SOCIEDAD COOPERATIVA HERCO","BADAJOZ","Hernan Cortes","06412","Sociedades Cooperativas Agrarias",26/05/78
"06/BA-050","SOCIEDAD COOPERATIVA AGROPECUARIA SIBERIANA","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas Agrarias",11/10/88
16947,"COOPERATIVA DEL CAMPO LA EXTREMEÑA","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas Agrarias",09/07/69
6624,"SOCIEDAD COOPERATIVA LOCAL DEL CAMPO CONSOLACION","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas Agrarias",18/11/54
"EXT-361","SOCIEDAD COOPERATIVA CASTILLO DE HERRERA","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas Agroalimentarias",12/09/90
"EXT-1177","SOCIEDAD COOPERATIVA SAN JUAN BAUTISTA","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas de Consumidores y Usuarios",08/03/77
17293,"COOPERATIVA DEL CAMPO EL MORRO","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",23/10/69
"EXT-1019","RECURSOS FORESTALES CIJARA, SOCIEDAD COOPERATIVA","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas de Trabajo Asociado",05/12/13
"EXT-1147","HANGAR AUTO CHAPA Y PINTURA, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas de Trabajo Asociado",15/06/17
"EXT-132","SOCIEDAD COOPERATIVA HEDUTRAASA","BADAJOZ","Herrera del Duque","06670","Sociedades Cooperativas de Trabajo Asociado",04/11/05
"EXT-922","GANADEROS HIGUEREÑOS, SOCIEDAD COOPERATIVA","BADAJOZ","Higuera de la Serena","06441","Sociedades Cooperativas Agrarias",06/07/11
"EXT-098","ENBLACAR, S. COOP. LTDA.","BADAJOZ","Higuera de la Serena","06441","Sociedades Cooperativas de Trabajo Asociado",11/06/04
"EXT-468","SOCIEDAD COOPERATIVA RIO RETÍN","BADAJOZ","Higuera de Llerena","06445","Sociedades Cooperativas Agroalimentarias",21/02/07
"EXT-915","SERVICIOS ASISTENCIALES DE HIGUERA DE VARGAS, S. COOP. ESPECIAL","BADAJOZ","Higuera de Vargas","06132","Sociedades Cooperativas de Trabajo Asociado",25/04/11
"06/BA-918","FUENTE DE GARGALLON, SOCIEDAD COOPERATIVA DE TRABAJO ASOCIADO","BADAJOZ","Higuera la Real","06350","Sociedades Cooperativas de Trabajo Asociado",04/04/01
"BA-151","SOCIEDAD COOPERATIVA LIMITADA HIGUEREÑA DE LA CONSTRUCCIÓN","BADAJOZ","Higuera la Real","06350","Sociedades Cooperativas de Trabajo Asociado",11/05/83
"EXT-782","CONSTRUCCIONES LORETO, S. COOP.","BADAJOZ","Higuera la Real","06350","Sociedades Cooperativas de Trabajo Asociado",14/04/94
"EXT-835","SOCIEDAD COOPERATIVA LIMITADA, LA GLORIETA","BADAJOZ","Higuera la Real","06350","Sociedades Cooperativas de Trabajo Asociado",15/10/80
"EXT-507","SOCIEDAD COOPERATIVA SANTO CRISTO DEL ARCO TORAL","BADAJOZ","Hinojosa del Valle","06226","Sociedades Cooperativas Agrarias",19/04/61
"EXT-540","FUENTE DE LOS MOROS SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","Hornachos","06228","Sociedades Cooperativas Agrarias",12/12/89
"EXT-185","SOCIEDAD COOPERATIVA LIMITADA DE HORNACHOS","BADAJOZ","Hornachos","06228","Sociedades Cooperativas Agroalimentarias",05/03/80
"06/BA-639","GRANITOS Y MARMOLES FORNACIS, SOCIEDAD COOPERATIVA","BADAJOZ","Hornachos","06228","Sociedades Cooperativas de Trabajo Asociado",06/06/94
"EXT-1130","NATUREX, S. COOP. ESPECIAL","BADAJOZ","Hornachos","06228","Sociedades Cooperativas de Trabajo Asociado",09/11/16
"EXT-555","MUEBLES TERRAZAS, SOCIEDAD COOPERATIVA","BADAJOZ","Hornachos","06228","Sociedades Cooperativas de Trabajo Asociado",21/06/93
"EXT-823","HORNACHEROS, S. COOP.","BADAJOZ","Hornachos","06228","Sociedades Cooperativas de Trabajo Asociado",04/02/00
"06/BA-049","SOCIEDAD COOPERATIVA LIMITADA DE JEREZ DE LOS CABALLEROS","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",11/10/88
"BA-207","COOPERATIVA DE CONSTRUCCIÓN LA PALOMA, S. COOP. LTDA.","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",06/08/84
"BA-313","DISTRIBUIDORA EXTREMEÑA DE LEVADURAS, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",07/01/87
"EXT-100","INSTALACIONES JEREZANAS SOCIEDAD COOPERATIVA","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",17/06/04
"EXT-654","CONSTRUCCIONES MECEVA, S. COOP.","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",05/03/99
"EXT-816","VASCO NUÑEZ, S. COOP. LTDA.","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",29/07/82
"EXT-904","CONSTRUCTORA VASCO NUÑEZ, S. COOP. LTDA.","BADAJOZ","Jerez de los Caballeros","06380","Sociedades Cooperativas de Trabajo Asociado",19/05/86
"BA-053","SOCIEDAD COOPERATIVA LIMITADA VIRGEN DE TENTUDÍA","BADAJOZ","Llera","06227","Sociedades Cooperativas de Trabajo Asociado",15/12/80
9565,"COOPERATIVA COMARCAL AGROPECUARIA Y CAJA RURAL SAN ISIDRO","BADAJOZ","Llerena","06900","Sociedades Cooperativas Agrarias",26/07/61
"EXT-536","AGROLLERENA Y COMARCA SOCIEDAD COOPERATIVA AGRARIA","BADAJOZ","Llerena","06900","Sociedades Cooperativas Agrarias",25/01/01
"EXT-1279","EXTREMEÑA DE PISTACHOS, SOCIEDAD COOPERATIVA AGROALIMENTARIA","BADAJOZ","Llerena","06900","Sociedades Cooperativas Agroalimentarias",23/03/22
"EXT-631","SOCIEDAD COOPERATIVA DOCENTE NTRA. SRA. DE LA GRANADA DE LLERENA","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Enseñanza",05/11/86
"EXT-736","FÓRMULA, S. COOP. ESPECIAL","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Enseñanza",25/03/08
17573,"COOPERATIVA TEXTIL ARTESANA SANTA TERESA","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",16/01/70
"EXT-129","LYTEX, S.C. LOGÍSTICA Y TRANSPORTES DE EXTREMADURA, S. COOP.","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",29/07/05
"EXT-420","SOCIEDAD COOPERATIVA LLERENENSE DEL MUEBLE","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",21/11/03
"EXT-494","SERVICIOS Y ATENCIÓN A MAYORES EN LA CAMPIÑA, S. COOP.","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",10/07/01
"EXT-508","SOCIEDAD COOPERATIVA DE CONSTRUCCIÓN ELLERINA","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",23/03/00
"EXT-708","SOCIEDAD COOPERATIVA DE CARPINTERÍA Y DECORACIÓN LLERENA","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",21/09/04
"EXT-942","CARNICAS DE LLERENA, S. COOP. LTDA.","BADAJOZ","Llerena","06900","Sociedades Cooperativas de Trabajo Asociado",19/10/82
"EXT-346","SOCIEDAD COOPERATIVA LIMITADA PEDRO DE ALVARADO","BADAJOZ","Lobon","06498","Sociedades Cooperativas Agrarias",29/07/82
"EXT-560","LA TIESA, SOCIEDAD COOPERATIVA DE EXPLOTACIÓN COMUNITARIA DE LA TIERRA","BADAJOZ","Lobon","06498","Sociedades Cooperativas de Explotación Comunitaria de la Tierra",18/02/04
"06/BA-514","S. COOP. LOBON","BADAJOZ","Lobon","06498","Sociedades Cooperativas de Trabajo Asociado",04/02/92
"EXT-411","SOCIEDAD COOPERATIVA OLIVARERA SAN ANTONIO DE PADUA","BADAJOZ","Malcocinado","06928","Sociedades Cooperativas Agrarias",25/09/64
"BA-044","SOCIEDAD COOPERATIVA LIMITADA LA NATIVIDAD DE NUESTRA SEÑORA DE MANCHITA","BADAJOZ","Manchita","06478","Sociedades Cooperativas de Trabajo Asociado",27/11/80
"EXT-184","AGRÍCOLA DE MEDELLÍN S. COOP.","BADAJOZ","Medellin","06411","Sociedades Cooperativas Agroalimentarias",02/04/69
"EXT-693","ALEXA, SOCIEDAD COOPERATIVA","BADAJOZ","Medellin","06411","Sociedades Cooperativas de Servicios",03/12/07
"06/BA-408","CONFECCIONES HERNÁN CORTÉS DE MEDELLÍN, S. COOP. LTDA.","BADAJOZ","Medellin","06411","Sociedades Cooperativas de Trabajo Asociado",12/12/89
"BA-249","INDUSTRIAS ARTÍSTICAS DE PORCELANAS EXTREMEÑAS, INARPOEX, S. COOP. LTDA.","BADAJOZ","Medellin","06411","Sociedades Cooperativas de Trabajo Asociado",10/01/86
3209,"COOPERATIVA DEL CAMPO CRÉDITO AGRÍCOLA","BADAJOZ","Medina de las Torres","06320","Sociedades Cooperativas Agrarias",10/04/47
"EXT-503","SOCIEDAD COOPERATIVA SANTISIMO CRISTO DEL HUMILLADERO","BADAJOZ","Medina de las Torres","06320","Sociedades Cooperativas Agrarias",23/07/58
"BA-077","SOCIEDAD COOPERATIVA LIMITADA NUESTRA SEÑORA DE CORONADA","BADAJOZ","Medina de las Torres","06320","Sociedades Cooperativas de Trabajo Asociado",22/06/81
"EXT-598","S. COOP. RECOGIDA DE SOLIDOS MEDINA DE LAS TORRES","BADAJOZ","Medina de las Torres","06320","Sociedades Cooperativas de Trabajo Asociado",04/10/96
"ACE-001","UNIÓN DE COOPERATIVAS DE TRABAJO ASOCIADO DE EXTREMADURA (UCETA)","BADAJOZ","Merida","06800","Asociación o Union de Cooperativas",18/04/88
"ACE-002","COOPERATIVAS AGRO-ALIMENTARIAS EXTREMADURA, UNIÓN DE COOP.","BADAJOZ","Merida","06800","Asociación o Union de Cooperativas",27/11/90
"ACE-005","UNIÓN DE COOPERATIVAS DE TRANSPORTE DE EXTREMADURA (UCOTRANEX)","BADAJOZ","Merida","06800","Asociación o Union de Cooperativas",14/06/89
"EXT-872","ESTONE, SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Merida","06800","Cooperación y Colaboración Empresarial",29/03/10
"EXT-032","NATURALEZA ALIMENTARIA EXTREMEÑA, S. COOP.","BADAJOZ","Merida","06800","Segundo Grado",05/10/99
"EXT-035","IBERGENETICA EXTREMEÑA, S. COOP.","BADAJOZ","Merida","06800","Segundo Grado",07/02/00
"EXT-047","EUROMIEL, S. COOP. DE Segundo Grado","BADAJOZ","Merida","06800","Segundo Grado",12/09/01
"SMT-1352","ACOPAEX SOCIEDAD COOPERATIVA","BADAJOZ","Merida","06800","Segundo Grado",20/03/91
"EXT-019","SOCIEDAD COOPERATIVA AGRÍCOLA ""COFRUITS""","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",12/04/93
"EXT-076","SOCIEDAD COOPERATIVA EL RINCÓN DE VALDEPALACIOS","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",23/06/03
"EXT-085","PRODHIES S. COOP.","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",04/12/03
"EXT-341","SOCIEDAD COOPERATIVA SAN JOSE DE CALAMONTE","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",04/03/80
"EXT-848","ACOAGRO, S. COOP.","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",13/10/09
"EXT-907","SOCIEDAD COOPERATIVA DE MAQUINARIA CERRO GORDO","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",15/02/11
"SMT-1052","EL CALAVERON, SOCIEDAD COOPERATIVA","BADAJOZ","Merida","06800","Sociedades Cooperativas Agrarias",10/02/88
"EXT-182","EL ESCOBAR, SOCIEDAD COOPERATIVA LIMITADA","BADAJOZ","Merida","06800","Sociedades Cooperativas Agroalimentarias",12/05/93
"EXT-364","FRUTAEX SOCIEDAD COOPERATIVA","BADAJOZ","Merida","06800","Sociedades Cooperativas Agroalimentarias",24/03/98
3233,"COOP. DE CONSUMO DE TRANSPORTES SANTA EULALIA","BADAJOZ","Merida","06800","Sociedades Cooperativas de Consumidores y Usuarios",10/10/46
"EXT-1139","COMBUSTIBLES MÉRIDA, S. COOP.","BADAJOZ","Merida","06800","Sociedades Cooperativas de Consumidores y Usuarios",07/10/94
"BA-336","SOCIEDAD COOPERATIVA LIMITADA DOCENTE SANTO ÁNGEL DE MÉRIDA","BADAJOZ","Merida","06800","Sociedades Cooperativas de Enseñanza",25/06/87
"EXT-1123","SOCIEDAD COOPERATIVA LIMITADA DOCENTE SANTA EULALIA","BADAJOZ","Merida","06800","Sociedades Cooperativas de Enseñanza",16/03/84
"EXT-700","SOCIEDAD COOPERATIVA LIMITADA DOCENTE SAN JUAN BOSCO DE MERIDA","BADAJOZ","Merida","06800","Sociedades Cooperativas de Enseñanza",25/06/82
"EXT-892","PROSERPINA SOCIEDAD COOPERATIVA ESPECIAL","BADAJOZ","Merida","06800","Sociedades Cooperativas de Enseñanza",31/08/10
"EXT-950","CENTRO DE ESTUDIOS INK, S. COOP. ESPECIAL","BADAJOZ","Merida","06800","Sociedades Cooperativas de Enseñanza",30/03/12
"BA-342","COOPERATIVA DE AUTOBUSES DE BADAJOZ, SOCIEDAD COOPERATIVA LIMITADA (COABA)","BADAJOZ","Merida","06800","Sociedades Cooperativas de Servicios",10/11/87
"EXT-949","RADIO TAXI MÉRIDA, SOCIEDAD COOPERATIVA","BADAJOZ","Merida","06800","Sociedades Cooperativas de Servicios",09/03/12
"06/BA-369","EXTREMEÑA DE TELECOMUNICACIONES, S. COOP. LTDA.","BADAJOZ","Merida","06800","Sociedades Cooperativas de Trabajo Asociado",17/07/89
